,Newspaper,Year,Faces
1004,GDL,1997,0
1005,GDL,1997,0
1006,GDL,1997,1
1007,GDL,1997,0
1008,IMP,1882,0
1009,IMP,1882,0
1010,IMP,1882,0
1011,IMP,1882,0
1012,IMP,1882,0
1013,IMP,1882,0
1014,IMP,1882,0
1015,IMP,1882,0
1016,IMP,1882,0
1017,IMP,1882,0
1018,IMP,1882,0
1019,IMP,1882,0
1020,IMP,1887,1
1021,IMP,1887,0
1022,IMP,1887,0
1023,IMP,1887,0
1024,IMP,1887,0
1025,IMP,1887,0
1026,IMP,1887,0
1027,IMP,1887,0
1028,IMP,1887,0
1029,IMP,1887,0
1030,IMP,1887,0
1031,IMP,1887,0
1032,IMP,1887,0
1033,IMP,1887,0
1034,IMP,1887,0
1035,IMP,1887,0
1036,IMP,1887,0
1037,IMP,1887,0
1038,IMP,1887,0
1039,IMP,1887,0
1040,IMP,1887,0
1041,IMP,1887,0
1042,IMP,1892,1
1043,IMP,1892,0
1044,IMP,1892,0
1045,IMP,1892,0
1046,IMP,1892,2
1047,IMP,1892,1
1048,IMP,1892,0
1049,IMP,1892,1
1050,IMP,1892,0
1051,IMP,1892,0
1052,IMP,1892,0
1053,IMP,1892,0
1054,IMP,1892,0
1055,IMP,1892,0
1056,IMP,1892,0
1057,IMP,1892,0
1058,IMP,1892,1
1059,IMP,1892,0
1060,IMP,1892,1
1061,IMP,1892,0
1062,IMP,1892,0
1063,IMP,1892,0
1064,IMP,1892,0
1065,IMP,1892,3
1066,IMP,1892,0
1067,IMP,1892,1
1068,IMP,1897,0
1069,IMP,1897,0
1070,IMP,1897,0
1071,IMP,1897,0
1072,IMP,1897,0
1073,IMP,1897,0
1074,IMP,1897,0
1075,IMP,1897,0
1076,IMP,1897,2
1077,IMP,1897,0
1078,IMP,1897,0
1079,IMP,1897,0
1080,IMP,1897,0
1081,IMP,1897,0
1082,IMP,1897,1
1083,IMP,1897,2
1084,IMP,1897,0
1085,IMP,1897,0
1086,IMP,1897,0
1087,IMP,1897,0
1088,IMP,1897,0
1089,IMP,1897,0
1090,IMP,1897,0
1091,IMP,1897,1
1092,IMP,1897,0
1093,IMP,1897,0
1094,IMP,1902,0
1095,IMP,1902,0
1096,IMP,1902,1
1097,IMP,1902,0
1098,IMP,1902,0
1099,IMP,1902,0
1100,IMP,1902,1
1101,IMP,1902,1
1102,IMP,1902,0
1103,IMP,1902,0
1104,IMP,1902,0
1105,IMP,1902,1
1106,IMP,1902,0
1107,IMP,1902,0
1108,IMP,1902,1
1109,IMP,1902,0
1110,IMP,1902,0
1111,IMP,1902,0
1112,IMP,1902,0
1113,IMP,1902,0
1114,IMP,1902,0
1115,IMP,1902,0
1116,IMP,1902,0
1117,IMP,1902,1
1118,IMP,1902,0
1119,IMP,1902,0
1120,IMP,1902,0
1121,IMP,1902,0
1122,IMP,1902,0
1123,IMP,1902,0
1124,IMP,1902,0
1125,IMP,1902,0
1126,IMP,1902,0
1127,IMP,1902,0
1128,IMP,1902,1
1129,IMP,1902,0
1130,IMP,1902,0
1131,IMP,1902,0
1132,IMP,1907,0
1133,IMP,1907,1
1134,IMP,1907,0
1135,IMP,1907,0
1136,IMP,1907,0
1137,IMP,1907,0
1138,IMP,1907,0
1139,IMP,1907,0
1140,IMP,1907,2
1141,IMP,1907,2
1142,IMP,1907,0
1143,IMP,1907,1
1144,IMP,1907,0
1145,IMP,1907,0
1146,IMP,1907,0
1147,IMP,1907,0
1148,IMP,1907,0
1149,IMP,1907,0
1150,IMP,1907,3
1151,IMP,1907,1
1152,IMP,1907,0
1153,IMP,1907,1
1154,IMP,1907,2
1155,IMP,1907,1
1156,IMP,1907,0
1157,IMP,1907,0
1158,IMP,1907,0
1159,IMP,1907,0
1160,IMP,1907,0
1161,IMP,1907,4
1162,IMP,1912,2
1163,IMP,1912,0
1164,IMP,1912,0
1165,IMP,1912,2
1166,IMP,1912,1
1167,IMP,1912,2
1168,IMP,1912,0
1169,IMP,1912,1
1170,IMP,1912,0
1171,IMP,1912,0
1172,IMP,1912,0
1173,IMP,1912,1
1174,IMP,1912,0
1175,IMP,1912,3
1176,IMP,1912,0
1177,IMP,1912,0
1178,IMP,1912,0
1179,IMP,1912,0
1180,IMP,1912,0
1181,IMP,1912,0
1182,IMP,1912,0
1183,IMP,1912,1
1184,IMP,1912,0
1185,IMP,1912,0
1186,IMP,1917,0
1187,IMP,1917,0
1188,IMP,1917,0
1189,IMP,1917,0
1190,IMP,1917,0
1191,IMP,1917,1
1192,IMP,1917,0
1193,IMP,1917,2
1194,IMP,1917,0
1195,IMP,1917,1
1196,IMP,1917,0
1197,IMP,1917,1
1198,IMP,1917,2
1199,IMP,1917,3
1200,IMP,1917,0
1201,IMP,1917,0
1202,IMP,1917,0
1203,IMP,1917,0
1204,IMP,1917,1
1205,IMP,1917,0
1206,IMP,1917,0
1207,IMP,1917,2
1208,IMP,1917,0
1209,IMP,1917,0
1210,IMP,1917,1
1211,IMP,1917,0
1212,IMP,1917,0
1213,IMP,1917,0
1214,IMP,1922,0
1215,IMP,1922,0
1216,IMP,1922,0
1217,IMP,1922,0
1218,IMP,1922,1
1219,IMP,1922,0
1220,IMP,1922,0
1221,IMP,1922,4
1222,IMP,1922,2
1223,IMP,1922,1
1224,IMP,1922,1
1225,IMP,1922,2
1226,IMP,1922,0
1227,IMP,1922,0
1228,IMP,1922,0
1229,IMP,1922,0
1230,IMP,1922,3
1231,IMP,1922,1
1232,IMP,1922,0
1233,IMP,1922,2
1234,IMP,1922,0
1235,IMP,1922,1
1236,IMP,1922,0
1237,IMP,1922,1
1238,IMP,1922,2
1239,IMP,1922,0
1240,IMP,1922,1
1241,IMP,1922,0
1242,IMP,1922,1
1243,IMP,1922,1
